“ID”,"ORDEN","FAMILIA","NOMBRE CIENTIFICO","NOMBRE COMUN","NOMBRE EN INGLES","DS 004-2014-MINAGRI","STATUS  MIGRATORIO","Enero","Febrero","Marzo","Abril","Mayo","Junio",,
"115","GRUIFORMES","RALLIDAE","Pardirallus sanguinolentus","Gallineta común - Rascón Plomizo","Plumbeous Rail","","R","3","2","5","2","4","8",,
"116","GRUIFORMES","RALLIDAE","Rallus limicola","Gallinetita chica","Virginia (Lesser) Rail","","R","","","","","","",,
"117","PASSERIFORMES","CARDINALIDAE","Saltador striatipectus","Saltador listado","Streaked Saltator","","ML","","","","","","",,
"118","PASSERIFORMES","CORVIDAE","Cyanocorax mystacalis","Urraca Cola Blanca","White-tailed Jay","","ML","","","","","","",,
"119","PASSERIFORMES","EMBERIZIDAE","Zonotrichia capensis","Gorrión americano, Pichisanka, Chingolo","Rufous-collared Sparrow","","R","","","","","1",""
"120","PASSERIFORMES","FRINGILLIDAE","Sporagra magellanica","Jilguero cabeza negra","Hooded Siskin","","R","","","","","","",,
"121","PASSERIFORMES","FURNARIIDAE","Geositta peruviana","Pampero peruano","Coastal Miner","","ML","","","","","","",,
"122","PASSERIFORMES","FURNARIIDAE","Phleocryptes melanops","Totorero","Wren-like Rushbird","","R","24","19","20","24","36","35",,
"123","PASSERIFORMES","HIRUNDINIDAE","Hirundo rustica","Golondrina Migratoria","Barn Swallow","","MN","","100","","","","",,
"124","PASSERIFORMES","HIRUNDINIDAE","Progne subis","Golondrina Purpureo","Purple Martin","","MN","","","","","","",,
"125","PASSERIFORMES","HIRUNDINIDAE","Progne elegans","Golondrina Negra","Southern Martin","","MAN","","","","","","",,
"126","PASSERIFORMES","HIRUNDINIDAE","Progne tapera","Martin Pechipardo","Brown-chested Martin","","MAN","","","","","","",,
"127","PASSERIFORMES","HIRUNDINIDAE","Riparia riparia","Golondrina ribereña","Bank Swallow","","MAN","","","","","","",,
"128","PASSERIFORMES","HIRUNDINIDAE","Petrochelidon rufocollaris","Golondrina de cuellicastaño","Chestnut-collared Swallow","","ML","","","","","","",,
"129","PASSERIFORMES","HIRUNDINIDAE","Pygochelidon cyanoleuca","Santa Rosita","Blue-and-white Swallow","","R","26","91","60","58","121","74",,
"130","PASSERIFORMES","ICTERIDAE","Dives warszewiczi","Tordo grande - Tordo negro","Scrub Blackbird","","ML","6","1","2","","5","2",,
"131","PASSERIFORMES","ICTERIDAE","Chrysomus icterocephalus","Tordo amazónico cabeza amarilla","Yellow-hooded Blackbird","","R","16","8","7","1","38","5",,
"132","PASSERIFORMES","ICTERIDAE","Molothrus bonariensis","Tordo parásito - Tordo brioso","Shiny Cowbird","","R","14","29","7","10","8","4",,
"133","PASSERIFORMES","ICTERIDAE","Sturnella bellicosa","Huanchaco, pecho colorado","Peruvian Meadowlark","","R","9","8","3","2","2","4",
"134","PASSERIFORMES","MIMIDAE","Mimus longicaudatus","Chisco","Long-tailed Mockingbird","","R","","5","3","6","3","",,
"135","PASSERIFORMES","MOTACILLIDAE","Anthus lutescens","Chichirre, cachirla amarilla","Yellowish Pipit","","R","","","","","","",
"136","PASSERIFORMES","PASSERIDAE","Passer domesticus","Gorrion europeo","","","R","32","33","69","15","12","14",,
"137","PASSERIFORMES","THRAUPIDAE","Sicalis flaveola","Chirigue azafranado","Saffron Finch","","ML","","","","","","",,
"138","PASSERIFORMES","THRAUPIDAE","Thraupis palmarum","Violinista verde, Violinista de Palmer","Palm Tanager","","MAN","","","","","","",
"139","PASSERIFORMES","THRAUPIDAE","Coereba flaveola","Mielerito","Bananaquit","","ML","","1","3","","","",,
"140","PASSERIFORMES","THRAUPIDAE","Sicalis raimondii","Trile bajoandino, Chirigüe de Raimondi","Raimondi’s Yellow-Finch","","ML","","","","","","",
"141","PASSERIFORMES","THRAUPIDAE","Sporophila peruviana","Espiguero pico de loro","Parrot-billed Seedeater","","ML","","","","","","",,
"142","PASSERIFORMES","THRAUPIDAE","Sporophila simplex","Espiguero simple","Drab Seedeater","","ML","8","1","1","","","",,
"143","PASSERIFORMES","THRAUPIDAE","Sporophila telasco","Espiguero corbatón","Chestnut-throated Seedeater","","R","1","5","5","1","","",,
"144","PASSERIFORMES","THRAUPIDAE","Thraupis episcopus","Violinista celeste, Luisa","Blue-gray Tanager","","ML","","","","","","",
"145","PASSERIFORMES","THRAUPIDAE","Conirostrum cinereum","Mielerito gris","Cinereous Conebill","","R","1","","","","","",,
"146","PASSERIFORMES","THRAUPIDAE","Sicalis luteola","Triguero común","Grassland Yellow-Finch","","R","7","6","","8","9","10",,
"147","PASSERIFORMES","THRAUPIDAE","Volatinia jacarina","Saltapalito","Blue-black Grassquit","","R","25","7","12","3","","1",,
"148","PASSERIFORMES","TROGLODYTIDAE","Troglodytes aedon","Cucarachero","House Wren","","R","18","5","14","26","28","20",,
"149","PASSERIFORMES","TURDIDAE","Turdus chiguanco","Chiguanco, zorzal","Chiguanco Thrush","","MAN","","","","","","",
"150","PASSERIFORMES","TYRANNIDAE","Tyrannus savana","Atrapamosca Cola de Tijera","Fork-tailed Flycatcher","","MN","","","","","","",,
"151","PASSERIFORMES","TYRANNIDAE","Tyrannus tyrannus","Atrapamoscas Migratorio - Tirano Norteño","Eastern Kingbird","","MN","","","","","","",,
"152","PASSERIFORMES","TYRANNIDAE","Tyrannus melancholicus","Tirano Tropical o Pepite","Tropical Kingbird","","R","2","3","5","1","4","2",,
"153","PASSERIFORMES","TYRANNIDAE","Muscigralla brevicauda","Dormilona de Cola Corta","Short-tailed Field Tyrant","","ML","","","","","","",,
"154","PASSERIFORMES","TYRANNIDAE","Muscisaxicola maclovianus","Dormilona de Cabeza Oscura","Dark-faced Ground-Tyrant","","ML","","","","","","",,
"155","PASSERIFORMES","TYRANNIDAE","Myiophobus fasciatus","Mosqueta Modesta","Bran-colored Flycatcher","","ML","","","","","","",,
"156","PASSERIFORMES","TYRANNIDAE","Camptostoma obsoletum","Mosqueta Silvadora","Southern Beardless-Tyrannulet","","R","","","","","","",,
"157","PASSERIFORMES","TYRANNIDAE","Lessonia oreas","Negrito Andino","Andean Negrito","","R","","","","","","",,
"158","PASSERIFORMES","TYRANNIDAE","Pyrocephalus rubinus","Turtupillín - Putilla","Vermilion Flycatcher","","R","8","11","14","7","14","9",,
"159","PASSERIFORMES","TYRANNIDAE","Tachuris rubrigastra","Siete colores de la totora","Many-colored Rush Tyrant","","R","10","14","8","22","22","8",,
"160","PELECANIFORMES","ARDEIDAE","Egretta tricolor","Garza Pechiblanca, Garza tricolor","Tricolored Heron","","E","","","","","","",
"161","PELECANIFORMES","ARDEIDAE","Nyctanassa violacea","Huaco de Corona Amarillo","Yellow-crowned Night-Heron","","R","7","1","9","12","15","6",,
"162","PELECANIFORMES","ARDEIDAE","Ardea cocoi","Garza Cuca","Cocoi Heron","","R","","2","1","","","",,
"163","PELECANIFORMES","ARDEIDAE","Ardea alba","Garza Blanca Grande","Great Egret","","R","32","19","23","19","14","11",,
"164","PELECANIFORMES","ARDEIDAE","Bubulcus ibis","Garza Bueyera","Cattle Egret","","R","169","182","162","190","492","20",,
"165","PELECANIFORMES","ARDEIDAE","Egretta caerulea","Garza Azul","Little Blue Heron","","R","13","7","10","13","24","19",,
"166","PELECANIFORMES","ARDEIDAE","Egretta thula","Garza Blanca Chica","Snowy Egret","","R","77","69","160","57","81","114",,
"167","PELECANIFORMES","ARDEIDAE","Nycticorax nycticorax","Garza Huaco","Black-Crowned Night-Heron","","R","55","121","42","69","52","54",,
"168","PELECANIFORMES","ARDEIDAE","Butorides striata","Garza Tamanquita - Garza Estriada","Striated Heron","","R","4","10","16","5","6","11",,
"169","PELECANIFORMES","ARDEIDAE","Ixobrychus exilis","Garzita Leonada - Mirasol Leonado","Least Bittern","","R","1","2","3","4","1","4",,
"170","PELECANIFORMES","PELECANIDAE","Pelecanus occidentalis","Pelícano marrón","Brown Pelican","","ML","","","","","","",,
"171","PELECANIFORMES","PELECANIDAE","Pelecanus thagus","Pelícano peruano","Peruvian Pelican","EN","R","202","156","170","46","56","91",,
"172","PELECANIFORMES","THRESKIONITHIDAE","Platalea ajaja","Espatula rosada","Roseate Spoonbill","NT","MN","","1","1","1","","",,
"173","PELECANIFORMES","THRESKIONITHIDAE","Plegadis ridgwayi","Yanavico","Puna Ibis","","R","165","24","247","178","132","387",,
"174","PHOENICOPTERIFORMES","PHOENICOPTERIDAE","Phoenicopterus chilensis","Parihuana - Flamenco de Chile","Chilean Flamingo","NT","MAN","","","","","","",,
"175","PODICIPEDIFORMES","PODICIPEDIDAE","Podiceps occipitalis","Zambullidor Blanquillo - Z. Plateado","Silvery Grebe","NT","MAN","","","","","","",,
"176","PODICIPEDIFORMES","PODICIPEDIDAE","Tachybaptus dominicus","Zambullidor Enano -  Z. Menor","Least Grebe","","MAN","1","","3","","","",,
"177","PODICIPEDIFORMES","PODICIPEDIDAE","Podiceps major","Zambullidor Grande - Z. Mayor","Great Grebe","","R","16","12","22","24","15","17",,
"178","PODICIPEDIFORMES","PODICIPEDIDAE","Podilymbus podiceps","Zambullidor Pico Grueso","Pied-billed Grebe","","R","6","7","7","9","12","7",,
"179","PODICIPEDIFORMES","PODICIPEDIDAE","Rollandia rolland","Zambullidor pimpollo","White-tufted Grebe","","R","","","","","3","",,
"180","PROCELLARIIFORMES","DIOMEDEIDAE","Phoebastria  irrorata","Albatros de las Galápagos","Waved Albatross","CR","MN","","","","","","",,
"181","PROCELLARIIFORMES","DIOMEDEIDAE","Diomedea epomophora","Albatros Real","Royal Albatross","VU","ML","","","","","","",,
"182","PROCELLARIIFORMES","HYDROBATIDAE","Oceanodroma hornbyi","Paiño Acollarado - Golondrina de Mar con Collar","Ringed (Hornby’s) Storm-Petrel)","","MS","","","","","","",,
"183","PROCELLARIIFORMES","HYDROBATIDAE","Oceanites oceanicus","Paiño de Wilson - Golondrina de las Tormentas","Wilson’s Storm-Petrel","","MS","","","","","","",,
